Model Combination,Weights,Dataset,mAP50-95,mAP50,Precision,Recall
clear_model_&_light_model,0.4:0.6,test_mix,0.4441,0.6156,0.7552,0.5242
clear_model_&_light_model,0.7:0.3,test_mix,0.4432,0.6146,0.7549,0.5237
clear_model_&_light_model,0.8:0.2,test_mix,0.4411,0.614,0.7575,0.523
clear_model_&_light_model,0.3:0.7,test_mix,0.4427,0.6139,0.7541,0.5233
clear_model_&_light_model,0.2:0.8,test_mix,0.4403,0.6098,0.7536,0.5211
clear_model_&_medium_model,0.6:0.4,test_mix,0.4451,0.6208,0.773,0.5277
clear_model_&_medium_model,0.5:0.5,test_mix,0.4443,0.6181,0.7643,0.5306
clear_model_&_medium_model,0.4:0.6,test_mix,0.4432,0.6171,0.7645,0.5299
clear_model_&_medium_model,0.7:0.3,test_mix,0.4413,0.6163,0.7808,0.5229
clear_model_&_medium_model,0.3:0.7,test_mix,0.4419,0.6156,0.7645,0.5298
clear_model_&_medium_model,0.8:0.2,test_mix,0.4402,0.6151,0.7643,0.5288
clear_model_&_medium_model,0.2:0.8,test_mix,0.4385,0.613,0.7643,0.5284
light_model_&_heavy_model,0.6:0.4,test_mix,0.4387,0.6108,0.7439,0.5205
light_model_&_heavy_model,0.7:0.3,test_mix,0.4386,0.6083,0.7433,0.5207
light_model_&_heavy_model,0.5:0.5,test_mix,0.4371,0.6076,0.7813,0.505
light_model_&_heavy_model,0.4:0.6,test_mix,0.4349,0.607,0.772,0.5091
light_model_&_heavy_model,0.8:0.2,test_mix,0.4369,0.6068,0.744,0.5192
light_model_&_heavy_model,0.3:0.7,test_mix,0.4327,0.6062,0.7751,0.5085
light_model_&_heavy_model,0.2:0.8,test_mix,0.43,0.6047,0.7553,0.5148
light_model_&_medium_model,0.4:0.6,test_mix,0.4404,0.6142,0.7969,0.509
light_model_&_medium_model,0.5:0.5,test_mix,0.4416,0.6135,0.8212,0.4998
light_model_&_medium_model,0.6:0.4,test_mix,0.4419,0.6134,0.7921,0.5077
light_model_&_medium_model,0.7:0.3,test_mix,0.4404,0.6123,0.7667,0.5164
light_model_&_medium_model,0.3:0.7,test_mix,0.4395,0.6119,0.7827,0.5133
light_model_&_medium_model,0.8:0.2,test_mix,0.4375,0.6103,0.7504,0.5224
light_model_&_medium_model,0.2:0.8,test_mix,0.4363,0.6079,0.7689,0.5181
medium_model_&_heavy_model,0.7:0.3,test_mix,0.4348,0.6064,0.7582,0.5174
medium_model_&_heavy_model,0.6:0.4,test_mix,0.4342,0.6063,0.7571,0.5166
medium_model_&_heavy_model,0.4:0.6,test_mix,0.4323,0.6059,0.7585,0.5164
medium_model_&_heavy_model,0.5:0.5,test_mix,0.434,0.6053,0.7562,0.5152
medium_model_&_heavy_model,0.3:0.7,test_mix,0.4317,0.605,0.7592,0.5158
medium_model_&_heavy_model,0.8:0.2,test_mix,0.4323,0.6041,0.7591,0.5157
medium_model_&_heavy_model,0.2:0.8,test_mix,0.4289,0.6033,0.7574,0.5137
